paragraph,paragraphNumber,filePath,fileName,matchingKey,PoliceReform,Operations_PatrolsInterventions,StateAdministration,RefugeeAssistance,ElectionAssistance,LegalReform,CivilSocietyAssistance
"12. Despite the reappointment of the Minister of Justice and Public Security, relationships between the judiciary and the executive branches remained tense, resulting in delays in the appointment of judges. According to the Superior Council of the Judiciary, as many as 70 judges remain to be appointed to ensure that all courts are functioning normally. In parallel, since 11 October, the lawyers of the Port[LOC]au- Prince Bar Association launched a strike demanding the recall of the [LOC] Public Prosecutor and the arrest of the [LOC] region director of the national police and other police officers accused of police brutality against lawyers. B. Economic situation",12,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"13. Macroeconomic indicators continued to deteriorate during the reporting period. Failure to reform the fuel price subsidies weakened an already low domestic revenue mobilization, inducing a serious budget deficit as expenditures rose. By the end of August, fuel subsidies and transfers to the state electricity utility amounted to 2.2 per cent and 1.5 per cent of the gross domestic product, respectively, while spending on education and health combined represented 2.4 per cent. As a result, the budget deficit is now expected to reach 4 per cent of the gross domestic product. Inflation reached 14.1 per cent at the end August. The [LOC] gourde’s depreciation against the [LOC] dollar continued, closing at a commercial exchange rate of 1 dollar to 73 gourdes by 22 October, a 10.4 per cent devaluation since October 2017.",13,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"14. On 6 October 2018, an earthquake of 5.9 magnitude struck the northern part of [LOC], with the epicentre located about 20 kilometres north of [LOC] ([LOC]- [LOC] region). According to the Directorate of Civil Protection, the earthquake caused 18 deaths, 548 wounded, destroyed 1,417 houses, damaged 9,717 houses and affected 11,134 families in the [LOC]-[LOC], [LOC] and [LOC]te regions. The affected population required shelter, kitchen, water, sanitation and hygiene kits. The Government mobilized its resources to assist the population.",14,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"15. In the immediate aftermath, the United Nations humanitarian agencies, jointly, and in support of the Directorate of Civil Protection, visited some of the affected areas to assess the damage and identify areas of potential support to national authorities. [LOC] assisted national rescue efforts by supporting the national police in the affected areas and through the deployment of its drone unit. In the wake of the earthquake, the Government announced the intention to create a permanent multisectoral crisis management mechanism under the leadership of the Prime Minister’s office to improve coordination, including of humanitarian aid, in line with the Government’s interest in a new paradigm for international assistance. The international community reiterated its long-standing support and continued commitment to investing in the strengthening of the Directorate of Civil Protection.",15,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,False
"16. The United Nations continued to support the [LOC] authorities’ response to combat cholera under the umbrella of the national plan for the elimination of cholera. In a promising development, the number of cases did not increase significantly during the rainy season. Although suspected cholera cases continue to be reported throughout the country, new suspected cases nationwide dropped to an average of 46 cases weekly in September and the first week of October, compared to 301 weekly suspected cases during the same period in 2017. The suspected weekly caseload at the peak of the outbreak in 2010 was over 18,500.",16,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"17. Despite this progress, it is critical that the intensified cholera control efforts are maintained to continue saving lives and reducing the transmission of cholera in line with the targets set in the national plan. The rapid response teams from the Ministry of Public Health and Population, supported by the United Nations Children’s Fund (UNICEF), have been instrumental to the successes in fighting the disease. An early reduction in the number of response teams poses a risk that cholera might spread again. Under track 2 of the new United Nations approach to cholera, the United Nations Development Programme (UNDP) is concluding local consultations in [LOC] to provide material assistance to those most directly affected by the disease. UNDP and the United Nations Office for Project Services (UNOPS), supported by the Office of the Special Envoy for [LOC], UNICEF and [LOC], are preparing a follow-up to the pilot phase, to provide other severely affected communities with similar support.",17,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"18. Special attention continued to be given to reinforcing local capacities for emergency preparedness. On 6 October, with the support of the United Nations Population Fund (UNFPA), 30 health and protection experts from the final three regions in the country completed the certification on the Minimum Initial Service Package for Reproductive Health in emergencies, bringing the total to 100 experts trained across the 10 regions.",18,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"19. According to the partial results of the Integrated Food Security Phase Classification conducted in October 2018 in drought-affected areas, 5 per cent of the population analysed (145,078 people) are in an emergency phase, and 25 per cent (629,082 people) are in a crisis phase, representing approximately 30 per cent of the population analysed. Projections of the situation indicate that from October 2018 to February 2019, 774,159 people will be food insecure and in need of assistance.",19,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"20. The 2018 humanitarian response plan, which is aimed at reaching 2.2 million [LOC] with humanitarian and protection assistance and requires $252.2 million, was only 11.2 per cent funded as at 23 November 2018.",20,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"21. On 20 September, the evaluation phase of the long overdue population and housing census in [LOC] was finalized, marking the transition to the main phase. After more than 15 years, with the support of UNFPA, the census will provide a much needed update of the national database on demographics, socioeconomics, gender and housing conditions. These are essential for the country and the international community to establish new baselines for more effective and sustainable policies that save lives and ensure a more informed approach to helping [LOC] eradicate extreme",21,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"22. As requested by the Council in its resolutions 2350 (2017) and 2410 (2018), [LOC] established a mechanism to monitor progress in the implementation of its benchmarked two-year exit strategy and transition to a non-peacekeeping United Nations presence. The data collection and analysis for the 46 indicators outlined in my previous report continue to be conducted in collaboration with the United Nations country team and national stakeholders, using the existing monitoring and evaluation mechanisms of the United Nations Development Assistance Framework. This joint monitoring mechanism, which enhances the coordination of actions planned by [LOC] and the United Nations country team in support of the Government, will further facilitate the transfer of tasks and responsibilities. The progress made during the reporting period is outlined in annex I to the present report.",22,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"23. Against the backdrop of demonstrations throughout the reporting period, and in view of the elections planned for the fourth quarter of 2019, [LOC] continued to use its community violence reduction programme to mitigate pockets of violence in “hot spot” areas in [LOC] and its outskirts. In fragile environments, neighbourhoods affected by a lack of socioeconomic opportunities and limited access to basic services, including the police and justice systems, and prone to persistent gang violence, idle and disfranchised young men and women represent easy recruits who can be used to trigger violence in public protests to serve political and/or criminal interests. The programme involved community members, in particular at-risk youth and women living in the most marginalized neighbourhoods, in planning and implementing high labour-intensive and income-generating activities to stabilize and improve security in neighbourhoods under gang control.",23,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"24. [LOC] initiated three separate community violence reduction projects, in [LOC] and [LOC], southern neighbourhoods of [LOC], implemented by both national and international non-governmental organizations. Thus far, a total of 2,242 women and 2,058 men are enrolled in activities such as football tournaments, capacity-building for community leaders, neighbourhood-based dialogues to promote peace and access to education.",24,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,True
"25. These initiatives, which offered temporary livelihood opportunities to youth, complemented the national police’s security stabilization efforts by raising community awareness on security and rule of law issues as well as increasing community trust in the national police and rule of law institutions. For instance, in [LOC], internships and vocational training opportunities had been offered to 151 at-risk youth, in partnership with 70 local businesses, and in the [LOC] region, 288 young women and men from marginalized communities had participated in the construction of an agricultural road. The national police are now able to easily provide community policing services through activities undertaken within the framework of community violence reduction projects.",25,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,True,False,False,False,False
"26. [LOC] is also supporting the implementation of community violence reduction projects in the [LOC], [LOC]-[LOC] and [LOC] regions, which focus on income-generating and highly labour-intensive activities. These include vocational and on-the-job training, capacity-building in small business management and support to direct beneficiaries for the development of income-generating activities. As at 7 November, 691 women and 599 men had taken part in those activities.",26,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"27. Increasing the understanding of the rule of law remains a key priority. Since 1 September, [LOC] mobile teams, with funding from the community violence reduction programme, has supported seven conferences and town hall debates throughout the country to raise community awareness of the rule of law. A total of 1,436 women, have participated. On the basis of assessments by mobile teams, 11 quick-impact projects were initiated to improve the facilities of rule of law institutions, including courts, prisons and police posts, as well as water treatment in prisons, toilet construction in detention cells and the construction of prison fences and watchtowers.",27,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,False
"28. Under the joint rule of law programme, the Mission and the United Nations country team continued to support the rule of law institutions in line with the [LOC] mandate. The programme helped to renovate and equip police stations, strengthened the case management system of the Inspector-General of the [LOC] national police, and supported oversight and accountability bodies, such as the Superior Council of the Judiciary, the Ministry of Justice and Public Security, the Directorate of Prison Administration, the Office of the National Human Rights Ombudsperson, the Interministerial Committee on Human Rights and civil society, through the use of programmatic funding.",28,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,True
"29. [LOC] finalized its protection of civilians strategy and its second forward-looking assessment of threats to civilians covering the period October to December 2018, in consultation with humanitarian actors. These include human rights violations by the national police, violence resulting from gang activity and violence triggered by major civil unrest, massive deportation or the spontaneous return of [LOC] migrants, and natural disasters. A. Security and police developments (benchmarks 1, 4, 5 and 6)",29,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,True,False,False,False
"30. There were 108 largely peaceful demonstrations related to the PetroCaribe Challenge movement during the reporting period, 23 of which were in the metropolitan area of [LOC]. Data sourced from the national police shows that the rate of homicide had decreased 4.2 per cent since my previous report and, as at the time of publication of the present report, is now at 6.22 per 100,000 inhabitants, one of the lowest in the [LOC] region. Over half of these homicides occurred in the [LOC] metropolitan area.",30,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"31. The efforts by the national police to ensure the safety of the population continued to be operationally challenged by gangs operating in areas of the capital. Despite the commitment of the national police hierarchy to tackle gangs, neighbourhoods such as [LOC]nt, which are densely crowded, pose significant impediments to improving the safety of a population that is suffering from poor socioeconomic opportunities and particularly vulnerable to criminality and insecurity. On at least two occasions, national police officers accompanied by a [LOC] formed police unit were fired upon during patrols in gang-ridden neighbourhoods without sustaining injuries or damage.",31,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,True,False,False,False,False,False
"32. During the planned demonstration on 17 October in [LOC], a group of violent demonstrators attempted to force entry into the World Bank and UNFPA offices, throwing stones and injuring a private security guard. Two surveillance cameras were also stolen. In [LOC] ([LOC]), three United Nations formed police unit officers were injured by stones thrown at them, and seven police officers assigned to the public order unit suffered lacerations from stones in [LOC]. On 18 November, a small number of incidents were recorded.",32,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"33. The Mission provided operational support to the national police during the reporting period by participating in 290 joint temporary checkpoints, 528 foot patrols, 576 vehicle patrols and 5 joint police operations. The Mission also provided support in 12 crowd-control operations related to protests in [LOC] and other cities. The national police specialized units continued to show progress in terms of and respect of human rights as outlined in the national police strategic development plan for the period 2017–2021.",33,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,True,False,False,False,False,False
"34. [LOC] supported the national police in an operation conducted in [LOC] (southern [LOC], [LOC] region) in an attempt to regain control of the zone and capture a gang leader operating in that area, Arnel Joseph. The operation, which took place on 3 November, mobilized 140 officers from national police specialized units. In addition to assisting in planning the operation, [LOC] supported the police in securing and conducting surveillance of the perimeter with a drone unit, five formed police unit sections and armoured vehicles. An armoured vehicle from the [LOC] 2 formed police unit was shot at during an exchange of gunfire between the national police and gang members. No injuries were reported. Although Arnel escaped, 72 people, including 12 women, were arrested on suspicion of criminal association, and some presumably stolen equipment and material was seized. The operation continued from 4 to 5 November, with an increased presence by the national police and [LOC] formed police units (four sections) in the area, in particular through patrols on [LOC] and inside [LOC].",34,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,True,False,False,False,False,False
"35. The national police strategic development plan for the period 2017–2021 has experienced a slow rate of implementation during its first year. Among the primary causes for the limited progress was the insufficient funding committed by the Government of [LOC] and international donors. At the onset, the [LOC] Government committed to cover 55 per cent of the funding of the five-year plan, but thus far has provided only 8 per cent of its required financial resources for the 2017–2018 fiscal period. Likewise, main donors have only contributed 15 per cent of their first-year financial commitment. This has resulted in some complex priority actions of the plan not being completed, with an overall implementation rate of 27.6 per cent for the first year and progress on 90 of the remaining 108 activities.",35,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"36. Since the adoption of the strategic development plan, a total of 42 infrastructure projects have been implemented, enabling the national police to increase their presence in the municipal sections. During the reporting period, 15 infrastructure projects in support of the national police were ongoing, 4 of which were financed by the Government of [LOC], 4 through the Mission quick-impact projects, 3 through the joint rule of law programme and 4 through bilateral cooperation. Increasing national police facilities across the country is a key aspect in ensuring the effective presence of the national police and reducing insecurity, but also for improving the working conditions of police officers.",36,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,False
"37. Following the graduation on 19 September of 692 cadets, the total number of police officers nationwide increased to 15,735, including 1,568 women (10 per cent). This brings the police-officer-to-population ratio to 1.37 police officers per 1,000 inhabitants, which is still below the United Nations standard of 2.2 per 1,000. Nevertheless, this represents an important milestone in achieving the targeted ratio of 1.45, and at least 11 per cent of women, by October 2019. The percentage of police personnel deployed outside the [LOC] metropolitan area has reached 34.2 per cent, a 4.5 per cent increase from my previous report. As part of the continued effort to increase the number of police officers, the national police announced that it had enrolled 658 applicants, including 132 women, for its 30th promotion, whose training should start before the end of 2018.",37,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"38. As part of the joint project by [LOC] and the United Nations Entity for Gender Equality and the Empowerment of Women (UN-Women) to establish a gender-sensitive recruitment mechanism for the national police, activities are under way to identify marginalized communities in which young women will be encouraged to apply. Through its community violence reduction programme, the Mission also supported community mobilization against sexual and gender-based violence in the [LOC]te, [LOC] and [LOC] regions. As at 20 November, 30 moderators from 15 local organizations carried out 59 sensitization sessions for 3,012 direct beneficiaries, to raise awareness among the general population on sexual and gender- based violence and on reporting such cases.",38,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,False
"39. The fourth international seminar on the fight against sexual and gender-based violence, organized jointly by the Mission and the national police, took place from 8 to 10 October at the [LOC] National Police Academy in [LOC]. My Special Representative, international speakers, prosecutors and various United Nations organizations and civil society in [LOC] participated in the seminar. The topics included human trafficking, sexual and gender-based violence, including domestic violence, justice and the functioning of the penal chain, and victim protection. Likewise, with the goal of enhancing the capacity of the national police to prevent and investigate cases of sexual and gender-based violence, in November, three workshops were held in the metropolitan area of [LOC] with key stakeholders in the penal system.",39,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,True,False,False,False,False,False,True
"40. As requested in resolution 2410 (2018), preparations for the withdrawal of two formed police units in December are under way, with arrangements in place for the national police to take over residual operations where the United Nations presence will be reduced. The Mission will update the security transition plan in the coming weeks to provide information on the repatriation of other formed police units. The national police has committed to ensuring a smooth drawdown of the formed police units in 2019, through a continued assessment of the security situation across the country, in close coordination with the United Nations country team and international donors. B. Justice (benchmarks 1, 2 and 5)",40,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"41. During the period under review, important progress was made on the legislative front, such as the promulgation of the legal aid law. On the institutional front, advances were made regarding the timely review of criminal cases and the commitment of the Ministry of Justice and Public Security to replicate the coordination mechanism of the [LOC] jurisdiction nationwide. Prolonged pretrial detention rates persisted, particularly in jurisdictions with poor access to justice and where monitoring of the caseload of judges and prosecutors is weak.",41,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"42. As at 23 October, the proportion of detainees in pretrial detention in excess of two years was 63.6 per cent, compared to 61.1 per cent in the previous reporting period. To address this situation, several initiatives are being put in place. At the August meeting of the penal chain committee of [LOC], which brings together all rule of law actors on a monthly basis, the Ministry of Justice and Public Security took steps towards facilitating the delivery of the sentencing orders necessary for the release of convicted persons who had already completed their sentence. A ministerial committee is also being established to list inmates and their periods of detention, in order to identify those for whom detention is no longer justified.",42,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"43. During the same period, [LOC] continued to provide technical support to four legal aid projects providing access to justice to vulnerable individuals financed by its community violence reduction programme. The two legal aid offices of the [LOC] Bar Association opened 2,249 new cases, held 1,961 consultations, filed 100 habeas corpus requests and contributed to the release of 250 pretrial detainees during the reporting period. A third legal aid project started its activities at the centre for the re-education of minors in conflict with the law and created a registry and judges to improve the handling of cases involving minors. Similarly, a pilot multidisciplinary legal aid project at the women’s prison of [LOC] ([LOC] region), launched by UN-Women in 2017, was expanded in September to provide legal assistance and psychosocial support to all the 258 women and girls in detention. The investigating judges issued 14 orders; nine releases were obtained through this project (after 5, 6, 7 and 11 months of extended detention, respectively).",43,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,False,False
"44. In the [LOC] jurisdiction, prosecutors, investigating judges and the court of first instance are on track to achieve the benchmarked indicators related to access to justice. Between October 2017 and September 2018, prosecutors received 1,080 penal cases. In 41 per cent of them (444 cases), the prosecution decided whether to present charges or to close the file the same day that the case was filed. In 43 per cent of those cases, processed in real time, charges were dropped. During the same period, investigating judges closed 365 files. During the 2017–2018 judicial year, the 22 investigating judges closed over 16 cases each, a yearly average of 1.3 cases per investigating judge per month. The court of first instance did not hold hearings during the reporting period, owing to judicial vacations between 30 June and 30 September.",44,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"45. The court of first instance and the court of appeal of [LOC] have not been operational since 10 October when the Bar Association of [LOC] decided to suspend the pleadings and blocked access to the courts. The lawyers are protesting violent responses by national police officers, on 2, 4 and 9 October. They are also requesting that the chief public prosecutor be dismissed for not initiating legal proceedings. This situation is of concern and if not resolved could have a negative effect on the performance of these jurisdictions and that of the legal aid offices. Despite these developments, the court of first instance has adjudicated a total of 437 penal cases since October 2017.",45,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"46. A disagreement between the Superior Council of the Judiciary and the executive branch resurfaced during the reporting period. In an open letter to President Moïse dated 10 September, the Council warned of the negative impact that delays in the appointment of judges could have on the justice system. The Government noted that the delays were due to the conduct of thorough background checks and, on the eve of the start of the 2018 judicial year on 1 October, appointed 36 judges and, on 22 October, 30 more. On 30 August, the Senate launched a second call to fill vacant seats on the Cour de cassation on 30 August, as the partial list previously submitted to the Government would allow for only four of the six vacant seats to be filled.",46,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"47. In addition to the delays in the appointment of judges, the National Association of Magistrates threatened to go on strike if their request for a salary increase was not taken into consideration by the presidency. The recent ad interim appointment of Ocnam Clamé Daméus as the Director of the Directorate of Judicial Inspections of the Superior Council of the Judiciary, a position that has been vacant since April 2016, when it was created, raised some concerns in certain sectors of civil society, as he is the Superior Council councillor representing all prosecutors of the courts of first instance.",47,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,,,,,,,
"48. The adoption of the law on legal assistance by the legislative branch on 10 September and its promulgation on 26 October constituted a major step that will significantly improve access to justice. In order to create a framework for the implementation of the law, the Ministry of Justice and Public Security established a technical committee, to which [LOC] is contributing. The Committee will support the Ministry in the diffusion and implementation of the law by developing an action plan and a budget and designing rules, regulations and application tools.",48,data/pdfs\MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059.pdf,MINUJUSTH_S_2018_1059,False,False,False,False,False,True,False
